fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.82,0.338,0.465,3.68,0.128,10.6,33.1,0.998986,3.381,0.559,8.19,5
6.53,0.52,0.191,1.87,0.043,37.3,43.8,0.995862,3.295,0.458,11.59,5
9.58,0.734,0.161,1.9,0.051,2.0,99.0,0.995635,3.375,0.748,9.58,8
9.9,0.758,0.491,2.54,0.112,20.4,31.9,0.996608,3.361,0.761,11.59,3
4.98,0.274,0.212,3.26,0.125,18.5,31.0,0.995569,3.246,0.479,8.2,4
6.09,0.474,0.48,2.48,0.053,19.4,9.7,0.995935,3.091,0.502,10.16,6
8.52,0.774,0.352,3.86,0.088,28.9,45.1,0.996885,3.078,0.683,11.85,6
7.76,0.621,0.205,1.85,0.039,28.7,68.1,0.995898,3.764,0.496,11.11,6
8.27,0.565,0.361,0.64,0.081,11.2,74.0,0.995884,3.532,0.69,10.06,5
6.85,0.491,0.331,5.27,0.116,17.9,50.1,0.994781,3.511,0.91,8.46,8
9.79,0.461,0.464,1.65,0.072,3.7,77.9,0.994508,3.209,0.65,9.08,6
9.62,0.582,0.166,1.7,0.078,16.9,70.6,0.996815,3.311,0.454,11.79,6
8.41,0.485,0.278,2.41,0.047,7.6,83.1,0.997283,3.188,0.727,10.05,8
10.22,0.522,0.258,2.59,0.064,13.9,78.9,0.993987,3.113,0.63,10.33,3
9.09,0.544,0.404,1.96,0.149,1.8,98.2,0.998144,3.222,0.634,10.68,7
6.84,0.408,0.075,2.48,0.09,20.2,40.9,0.998152,3.509,0.741,9.1,8
8.93,0.626,0.463,2.44,0.052,1.9,6.0,0.998552,3.436,0.777,10.81,6
6.67,1.055,0.359,2.74,0.076,17.5,68.3,0.99727,3.164,0.666,9.98,6
9.79,0.21,0.02,0.8,0.031,3.0,72.2,0.99791,3.263,0.65,10.69,5
8.22,0.588,0.5,5.13,0.052,7.0,98.2,1.000852,3.422,1.011,9.82,4
7.99,0.393,0.694,2.29,0.135,28.0,88.7,0.996127,3.224,0.864,8.83,6
7.14,0.634,0.46,3.31,0.082,22.1,110.5,0.994713,3.322,0.802,9.97,8
10.38,0.538,0.541,0.6,0.153,28.0,66.9,0.993785,3.37,0.682,11.04,5
8.04,0.667,0.286,1.84,0.084,32.3,54.0,1.000036,3.369,0.489,10.79,3
7.57,0.742,0.046,1.56,0.086,7.8,6.0,1.000061,3.348,0.852,10.43,5
7.7,0.565,0.08,4.56,0.109,31.6,56.6,0.994943,3.212,0.685,11.3,3
9.2,0.734,0.318,1.68,0.012,1.0,28.3,0.995318,3.227,0.562,10.2,8
8.92,0.108,0.158,3.56,0.094,23.7,53.5,0.996084,3.14,0.619,10.46,6
9.0,0.816,0.096,1.59,0.085,10.7,48.3,0.999026,3.076,0.496,9.92,4
